OFFICE TYPE,SITE NAME,ALTERNATIVE NAME,ADDRESS,SUBURB,STATE,POSTCODE,LATITUDE,LONGITUDE,OPEN,CLOSE,CLOSED FOR LUNCH,,
Service Centre - Centrelink/Medicare,Griffith,,95-97 Yambil Street,Griffith,NSW,2680,-34.28909,146.04573,,,,,
Service Centre - Centrelink/Medicare,Gungahlin,,Gungahlin Marketplace 33 Hibberson Street,Gungahlin,ACT,2912,-35.18451,149.13492,,,,,
Service Centre - Centrelink/Medicare,Gunnedah,,34 Chandos Street,Gunnedah,NSW,2380,-30.97749,150.25019,,,,,
Service Centre - Centrelink/Medicare,Gympie,,27 OConnell Street,Gympie,QLD,4570,-26.18736,152.66149,,,,,
Remote Service Centre,Halls Creek,,8 Duncan Road,Halls Creek,WA,6770,-18.223831,127.67043,,,,,
Service Centre - Centrelink/Medicare,Hamilton,,258 Gray Street,Hamilton,VIC,3300,-37.7415,142.02759,,,,,
Service Centre - Centrelink/Medicare,Hastings,,125 High Street,Hastings,VIC,3915,-38.30781,145.18694,,,,,
Service Centre - Centrelink/Medicare,Heidelberg,,21 Yarra Street,Heidelberg,VIC,3084,-37.7589,145.06975,,,,,
Remote Service Centre,Hermannsburg,,"Lot 58, Hermannsburg Community",Hermannsburg,NT,872,-23.942497,132.777148,,,,,
Service Centre - Centrelink/Medicare,Hobart,,30-38 Barrack Street,Hobart,TAS,7000,-42.8858,147.32258,,,,,
Service Centre - Centrelink/Medicare,Hornsby,,135-137 Pacific Highway,Hornsby,NSW,2077,-33.706175,151.098525,,,,,
Service Centre - Centrelink/Medicare,Horsham,,Corner Darlot and McLachlan Streets,Horsham,VIC,3400,-36.71317,142.19716,,,,,
Service Centre - Centrelink,Huonville,,1 Skinner Drive,Huonville,TAS,7109,-43.031192,147.049406,,,,,
Service Centre - Centrelink,Hurstville,,420 and 430 Forest Road,Hurstville,NSW,2220,-33.9645,151.09735,,,,,
Service Centre - Centrelink/Medicare,Inala,,14 Wirraway Parade,Inala,QLD,4077,-27.60139,152.97454,,,,,
Service Centre - Centrelink/Medicare,Ingham,,48 Herbert Street,Ingham,QLD,4850,-18.64973,146.15938,,,,,
Service Centre - Centrelink/Medicare,Ingleburn,,27-31 Carlisle Street,Ingleburn,NSW,2565,-33.99775,150.86796,,,,,
Service Centre - Centrelink/Medicare,Innaloo,,"40 Hasler Road, Osborne Park",Innaloo,WA,6018,-31.910749,115.810246,,,,,
Service Centre - Centrelink/Medicare,Innisfail,,72 Ernest Street,Innisfail,QLD,4860,-17.524493,146.02787,,,,,
Service Centre - Centrelink/Medicare,Inverell,,158 Otho Street,Inverell,NSW,2360,-29.77744,151.11445,,,,,
Service Centre - Centrelink/Medicare,Ipswich,,78 East Street,Ipswich,QLD,4305,-27.6172,152.76024,,,,,
Service Centre - Centrelink/Medicare,Joondalup,,68 Reid Promenade,Joondalup,WA,6027,-31.74185,115.77141,,,,,
Service Centre - Centrelink,Kadina,,22-24 Taylor Street,Kadina,SA,5554,-33.96283,137.71213,,,,,
Service Centre - Centrelink/Medicare,Kalgoorlie,,Corner Egan and Porter Street,Kalgoorlie,WA,6430,-30.74538,121.4771,,,,,
Service Centre - Centrelink,Karratha,,14 De Grey Place,Karratha,WA,6714,-20.73721,116.84963,,,,,
Service Centre - Centrelink,Katherine,,4 Second Street,Katherine,NT,850,-14.46447,132.26662,,,,,
Service Centre - Centrelink/Medicare,Katoomba,,33-35 Waratah Street,Katoomba,NSW,2780,-33.717119,150.309526,,,,,
Service Centre - Centrelink,Kilkenny,,8 Regency Road,Kilkenny,SA,5009,-34.875,138.5518,,,,,
Service Centre - Centrelink/Medicare,Kingaroy,,21 Markwell Street,Kingaroy,QLD,4610,-26.54301,151.83797,,,,,
Service Centre - Centrelink/Medicare,Kingston,,"Service Tasmania, Channel Court, Shop 87A, 29 Channel Highway",Kingston,TAS,7050,-42.976379,147.309617,,,,,
Service Centre - Centrelink,Kununurra,,77 Konkerberry Drive,Kununurra,WA,6743,-15.77538,128.739101,,,,,
Service Centre - Centrelink,Kurri Kurri,,174-176 Barton Street,Kurri Kurri,NSW,2327,-32.81999,151.47991,,,,,
Service Centre - Centrelink/Medicare,Lake Haven,,3 Forrow Drive,Lake Haven,NSW,2263,-33.242581,151.506267,,,,,
Service Centre - Centrelink/Medicare,Launceston,,8 Boland Street,Launceston,TAS,7250,-41.42954,147.14338,,,,,
Remote Service Centre,Laverton,,Lot 498 Laver Place,Laverton,WA,6440,-28.62529,122.40516,,,,,
Service Centre - Centrelink,Leeton,,"Shops 10 & 11, Leeton Market Plaza, 1 Acacia Ave",Leeton,NSW,2705,-34.55209,146.39828,,,,,
Service Centre - Centrelink/Medicare,Leichhardt,,23 Balmain Road,Leichhardt,NSW,2040,-33.88706,151.15933,,,,,
Service Centre - Centrelink/Medicare,Lilydale,,Corner Anderson and Chapel Street,Lilydale,VIC,3140,-37.756,145.355,,,,,
Service Centre - Centrelink/Medicare,Lismore,,47 Conway Street,Lismore,NSW,2480,-28.8121,153.27696,,,,,
Service Centre - Centrelink/Medicare,Lithgow,,176 Mort Street,Lithgow,NSW,2790,-33.4813,150.16031,,,,,
Service Centre - Centrelink/Medicare,Liverpool,,211-231 Northumberland Street (ground floor),Liverpool,NSW,2170,-33.92358,150.92204,,,,,
Service Centre - Centrelink,Longreach,,96 Galah Street,Longreach,QLD,4730,-23.44181,144.25173,,,,,
Service Centre - Centrelink/Medicare,Mackay,,12 Greenfields Boulevard,Mackay,QLD,4740,-21.12251,149.15892,,,,,
Service Centre - Centrelink/Medicare,Maitland,,226 High Street,Maitland,NSW,2320,-32.7376,151.5621,,,,,
Service Centre - Centrelink/Medicare,Mandurah,,24-26 Tuckey Street,Mandurah,WA,6210,-32.53233,115.72343,,,,,
Remote Service Centre,Maningrida,,Lot 915 Maningrida Community,Maningrida,NT,822,-12.04968,134.22509,,,,,
Service Centre - Centrelink,Mareeba,,228 Byrnes Street,Mareeba,QLD,4880,-16.9968,145.42247,,,,,
Service Centre - Centrelink/Medicare,Margate,,279-287 Oxley Avenue,Margate,QLD,4019,-27.24345,153.10666,,,,,
Service Centre - Centrelink/Medicare,Maroochydore,,5 Maud Street,Maroochydore,QLD,4558,-26.65634,153.09473,,,,,
Service Centre - Centrelink/Medicare,Eastgardens,,"Shop 230/33 Westfield Eastgardens, 152 Bunnerong Road",Maroubra,NSW,2035,-33.94459,151.224308,,,,,
Service Centre - Centrelink,Marrickville,,314-316 Marrickville Road,Marrickville,NSW,2204,-33.910159,151.155471,,,,,
Service Centre - Centrelink,Maryborough,,16 Campbell Street,Maryborough,VIC,3465,-37.04631,143.73541,,,,,
Service Centre - Centrelink/Medicare,Maryborough,,207 Lennox Street,Maryborough,QLD,4650,-25.5374,152.7012,,,,,
Service Centre - Centrelink/Medicare,Mayfield,,188-194 Maitland Road,Mayfield,NSW,2304,-32.9002,151.7398,,,,,
